algo,no,precision,dm,cm,entropy,discern,ilm,acc
datafly_shuffled,119,0.033333333333333215,0.055,0.3944594594594595,0.932131389455228,0.060934002921840764,0.04799631934566145,0.5418918918918919
mondrian,119,0.3979994711310499,0.5525,0.3025675675675676,0.8347545429819743,0.0009092403214024836,0.04701413584637267,0.4945945945945946
datafly,120,0.033328828828828816,0.085,0.3601351351351351,0.9600012990808199,0.2515637326515705,0.046111326458036984,0.5054054054054054
datafly_shuffled,120,0.03333333333333344,0.0625,0.3591891891891892,0.9414969987059704,0.09930058436815194,0.048224253200568994,0.577027027027027
mondrian,120,0.4223611810190761,0.6075,0.24283783783783786,0.8201517368136543,0.0005248721694667642,0.04605659672830725,0.4945945945945946
datafly,121,0.04167454954954963,0.0925,0.31851351351351354,0.9499372198157492,0.15863330898466033,0.04583125889046941,0.5641891891891891
datafly_shuffled,121,0.033333333333332986,0.055,0.4155405405405405,0.9340619609121208,0.07234105186267348,0.048059637268847794,0.5743243243243243
mondrian,121,0.4364154447970239,0.6575,0.20391891891891886,0.8076865037471002,0.00033228634039444846,0.04572251066856331,0.4945945945945946
datafly,122,0.01666666666666661,0.0275,0.4258108108108108,0.9814069217519152,0.5739993791088386,0.0479725640113798,0.5054054054054054
datafly_shuffled,122,0.049986486486486514,0.13,0.4033783783783784,0.9157828194467671,0.035710226442658866,0.04756941678520625,0.5054054054054054
mondrian,122,0.4128941076704236,0.5825,0.2606756756756757,0.81899450232005,0.000529145361577794,0.04621948790896168,0.4945945945945946
datafly,123,0.04217792792792796,0.0925,0.3451351351351352,0.9639684883855779,0.3522790357925493,0.046109210526315766,0.5054054054054054
datafly_shuffled,123,0.05000000000000005,0.1,0.3389189189189189,0.9211362409797093,0.05008703433162893,0.047533463726884766,0.5054054054054054
mondrian,123,0.4174252562278881,0.6,0.2495945945945946,0.8195415567976265,0.0005251643535427318,0.044950782361308735,0.4945945945945946
datafly,124,0.03333333333333344,0.0625,0.3733783783783784,0.9583071470841288,0.23127224251278306,0.0460241998577525,0.5054054054054054
datafly_shuffled,124,0.02501689189189193,0.035,0.4671621621621622,0.9787889238050064,0.4629955441928415,0.04907603129445234,0.5054054054054054
mondrian,124,0.4414107579239159,0.6425,0.20067567567567568,0.8098149968470141,0.00033524470416362314,0.04559041607396887,0.4945945945945946
datafly,125,0.033324324324324084,0.0875,0.31675675675675674,0.9587145834882662,0.28872311906501097,0.045820412517780934,0.5054054054054054
